size,InsertionSort,QuickSort
2,6.1904e-08,1.14384e-07
3,7.3772e-08,2.97772e-07
4,8.2992e-08,3.49168e-07
5,9.8912e-08,4.04564e-07
6,1.18312e-07,4.54884e-07
7,1.444e-07,5.0614e-07
8,2.2316e-07,6.92092e-07
9,2.61808e-07,6.96676e-07
10,3.19456e-07,7.87328e-07
11,3.66504e-07,8.97004e-07
12,4.0322e-07,9.78964e-07
13,4.69844e-07,9.14328e-07
14,5.4188e-07,1.10759e-06
15,5.88516e-07,1.06537e-06
16,6.84844e-07,1.17014e-06
17,7.35728e-07,1.29904e-06
18,8.12408e-07,1.38008e-06
19,8.68508e-07,1.36877e-06
20,1.01341e-06,1.5112e-06
21,1.10436e-06,1.51602e-06
22,1.12164e-06,1.5773e-06
23,1.19308e-06,1.65778e-06
24,1.28423e-06,1.76467e-06
25,1.36447e-06,1.76132e-06
26,1.46447e-06,1.90694e-06
27,1.61796e-06,1.91906e-06
28,1.74456e-06,2.01964e-06
29,1.78769e-06,2.12476e-06
30,1.89512e-06,2.1701e-06
31,2.06507e-06,2.33144e-06
32,2.20981e-06,2.40966e-06
33,2.38028e-06,2.49597e-06
34,2.40735e-06,2.56526e-06
35,2.62922e-06,2.58048e-06
36,2.7791e-06,2.92883e-06
37,3.05678e-06,2.99051e-06
38,3.02201e-06,3.08122e-06
39,3.19484e-06,3.08806e-06
40,3.42844e-06,3.14815e-06
41,3.50513e-06,3.1283e-06
42,3.59756e-06,3.10397e-06
43,3.86254e-06,3.32748e-06
44,3.80664e-06,3.47513e-06
45,4.2959e-06,3.32349e-06
46,4.39328e-06,3.64021e-06
47,4.44878e-06,3.36747e-06
48,4.97464e-06,3.55238e-06
49,4.84595e-06,3.79258e-06
50,4.94222e-06,4.02189e-06
51,5.1346e-06,3.85139e-06
52,5.40849e-06,3.99996e-06
53,5.49086e-06,3.94649e-06
54,5.97805e-06,4.32651e-06
55,6.07207e-06,4.17257e-06
56,8.07331e-06,5.05538e-06
57,8.71e-06,5.6812e-06
58,8.16202e-06,5.69014e-06
59,8.99708e-06,5.7986e-06
60,7.08359e-06,5.60994e-06
61,7.89335e-06,4.94282e-06
62,7.48243e-06,4.92712e-06
63,8.00889e-06,5.11284e-06
64,8.40347e-06,5.22553e-06
65,7.94256e-06,5.32674e-06
66,8.47452e-06,5.01468e-06
67,8.59238e-06,4.9225e-06
68,9.07872e-06,5.31873e-06
69,9.68592e-06,5.50936e-06
70,9.42892e-06,5.31428e-06
71,1.0082e-05,5.41635e-06
72,1.0071e-05,6.01081e-06
73,1.09058e-05,5.99503e-06
74,1.07582e-05,5.831e-06
75,1.08122e-05,6.06505e-06
76,1.12155e-05,6.30824e-06
77,1.1592e-05,5.99898e-06
78,1.16394e-05,6.30204e-06
79,1.21212e-05,6.20635e-06
80,1.23994e-05,6.5137e-06
81,1.25653e-05,6.23975e-06
82,1.34079e-05,6.39985e-06
83,1.36774e-05,6.38296e-06
84,1.32238e-05,6.64006e-06
85,1.36156e-05,7.01295e-06
86,1.42449e-05,6.6095e-06
87,1.41723e-05,6.98551e-06
88,1.4403e-05,7.07323e-06
89,1.50109e-05,6.865e-06
90,1.60637e-05,7.17896e-06
91,1.54158e-05,7.42118e-06
92,1.5928e-05,7.40131e-06
93,1.63234e-05,7.18049e-06
94,1.66927e-05,7.47786e-06
95,1.72566e-05,7.47849e-06
96,1.7266e-05,7.68824e-06
97,1.74479e-05,7.62552e-06
98,2.06189e-05,7.55457e-06
99,1.92963e-05,7.7051e-06
100,1.88535e-05,7.92699e-06
